Report generated on: 12-09-2022 13:21:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,dry natural gas consumption (bcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.26-2-WORL-BCF.A,    World,52922.23848,53524.67675,53643.1437,54635.21427,59687.50427,62165.77219,63145.57905,66249.86511,69563.73142,72674.81086,73270.45708,75056.23351,75231.44273,77202.4496,76953.2959,78968.55387,80785.91561,81170.26047,81681.80486,83767.69098,86985.89933,87174.62683,91206.66196,93733.7289,96392.17218,99106.86431,102523.495,106083.2763,109279.4725,105709.5506,115655.655,119090.2475,121740.357,123444.6173,123677.6884,125487.0592,128072.9951,131647.8144,138329.8855,140542.7814,137862.2718,144658.8141
INTL.26-2-AFG-BCF.A,        Afghanistan,2,3,5,5,5,0,0,22,70,68,67,11,10.5945,10.5945,10.59,7.06,8.12245,8.12245,8.12245,8.12245,8.12245,1.76575,1.76575,0.7063,0.7063,0.7063,0.7063,1.4126,1.76575,1.05945,5.01115593,5.69979258,5.66094641,5.45612115,5.01115593,5.16300914,5.83751991,5.51262467,5.41021204,4.54500189,2.83223894,se|2.8
INTL.26-2-ALB-BCF.A,        Albania,10,11,10,11,11,10,14,16,25,25,9,5,3.602,1.059,1.06,1.06,1.05945,0.7063,1.05945,0.7063,1.05945,1.05945,1.05945,1.05945,1.05945,1.05945,1.05945,0.35315,1.05945,1.05945,0.35315,0.35315,0.600355,0.670985,1.13008,1.236025,1.5891615,1.765735,1.515804683,2.752030114,1.968859441,2.082494209
INTL.26-2-DZA-BCF.A,        Algeria,460,346,553,656,680,584,602,656,712,660,681,775,730,655.093,690.41,741.97,762.0977,711.9504,736.31775,752.56265,726.0764,721.8386,720.77915,724.6638,680.8732,846.323975,904.064,934.328955,977.342625,1015.51814,1017.7783,1161.1572,1265.83086,1163.55862,1380.993075,1399.215615,1404.406876,1457.626129,1582.370881,1633.622622,1578.376311,1664.064837
INTL.26-2-ASM-BCF.A,        American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-ASM-BCF.A,        Andorra,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.26-2-AGO-BCF.A,        Angola,9.2,8.8,10,12,12,13,14,16,18,15,19,20,20.12955,19.7764,18.36,19.7764,19.7764,20.12955,20.4827,19.7764,20.12955,18.71695,21.8953,22.95475,26.48625,22.95475,24.0142,29.31145,24.0142,24.36735,25.92121,26.55688,26.8394,14.40852,8.157765,27.298495,28.357936,28.711083,40.77052,45.6911,46.74551,32.33524
INTL.26-2-ATA-BCF.A,        Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-ATG-BCF.A,        Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-ARG-BCF.A,        Argentina,359,362,456,449,572,578,625,605,713,801,716.54,780.81,787.17,833.085,856.39,953.15,1010.36215,1007.8901,1077.46065,1142.7934,1172.81115,1102.5343,1068.98505,1221.1927,1338.79165,1428.1386,1474.7544,1551.0348,1568.33915,1523.4891,1528.78635,1629.08095,1640.0286,1648.256995,1662.55957,1659.45185,1710.269703,1732.235447,1828.09989,1894.893096,1769.292865,1745.993911
INTL.26-2-ARM-BCF.A,        Armenia,--,--,--,--,--,--,--,--,--,--,--,--,65.6859,49.44,56.5,56.5,63.57,45.9095,49.441,45.55635,49.79415,49.441,38.49335,46.6158,46.96895,60.0355,60.0355,72.53701,68.15795,54.73825,64.2733,73.10205,86.52175,85.10915,88.2875,72.39575,78.2573752,83.1308038,87.65844034,88.21622626,89.85467123,97.68623362
INTL.26-2-ABW-BCF.A,        Aruba,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-AUS-BCF.A,        Australia,322,368,407,413,440,463,516,532,555,570,625,584,603.709925,630.16,661.30869,709.69024,719.189975,717.989265,751.64446,759.095925,796.953605,841.097355,923.76977,969.855845,1004.111395,1014.140855,1019.12027,1132.1989,1153.493845,1211.86954,1226.91373,1246.47824,1291.89333,1332.36432,1360.157225,1406.9496,1528.490845,1597.95486,1585.731582,1619.049889,1588.576895,1508.344617
INTL.26-2-AUT-BCF.A,        Austria,186,159,154,157,175,188,182,190,181,195,215,228,223.8971,235.48,242.37,262.04,281.495865,271.28983,278.529405,284.56827,271.78424,287.81725,291.06623,314.72728,310.98389,353.538465,331.996315,313.10279,330.83092,318.5413,349.47724,329.8421,315.22169,303.49711,277.046175,295.621865,308.7211074,335.1011883,312.1973397,326.0677166,308.4885228,326.6560639
INTL.26-2-AZE-BCF.A,        Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,522.66,388.47,331.96,317.84,328.43,323.4854,197.41085,211.89,199.8829,237.3168,319.9539,324.898,351.0311,366.5697,399.0595,313.5972,351.0311,344.6744,368.6886,328.78265,372.57325,334.43305,354.20945,384.2272,376.8817424,365.4750943,372.5466707,404.9777136,409.0653097,440.5545546
INTL.26-2-BHR-BCF.A,        Bahrain,100,120,130,140,133,164,180,217,182,186,205,233,187.8758,233.7853,229.19,229.19,232.01955,281.46055,292.76135,296.99915,302.64955,314.3035,334.0799,339.7303,344.32125,378.22365,400.11895,416.0107,438.25915,440.7312,450.97255,445.6753,483.8155,554.4455,547.3825,547.3825,541.379001,561.1199183,567.1121576,624.6792318,623.4358261,655.1690602
INTL.26-2-BGD-BCF.A,        Bangladesh,50,60,65,69,95,100,113,131,150,164,162,173,206.2396,215.77,234.84,260.27,269.45345,269.45345,289.583,319.60075,342.5555,363.7445,391.9965,429.07725,462.6265,494.41,541.0258,574.57505,632.1385,692.174,710.89095,710.18465,777.98945,805.182,844.0285,948.6090665,1039.191272,1042.864001,1008.303159,1121.016785,1079.096069,1121.962086
INTL.26-2-BRB-BCF.A,        Barbados,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.9,1,1.20071,1.165395,1.69512,1.659805,1.62449,1.659805,1.589175,1.518545,1.306655,1.659805,1.338869341,1.13008,1.024135,1.024135,1.05945,0.930600191,0.948705253,0.665361032,0.601088061,0.576646227,0.570309456,0.582982999,0.667171538,0.782138682,0.50151022,0.626435148,0.70605,0.769222368,0.716891786,0.739609219,0.767861,0.823861
INTL.26-2-BLR-BCF.A,        Belarus,--,--,--,--,--,--,--,--,--,--,--,--,645.91,599.65,497.59,452.03,494.41,533.2565,544.91045,607.77115,692.209315,635.67,598.2361,634.2574,579.166,716.8945,740.55555,733.1394,750.51438,626.84125,763.757505,743.38075,732.07995,717.17702,709.1252,612.00895,607.8771301,625.428536,663.4437056,658.2524907,609.4678719,643.7751276
